Country Name;Country Code;GDP_US$
Aruba;ABW;
Afghanistan;AFG;19291104008
Angola;AGO;89417190341
Albania;ALB;15286612573
Andorra;AND;3155065488
United Arab Emirates;ARE;4.21142E+11
Argentina;ARG;4.45445E+11
Armenia;ARM;13672802158
American Samoa;ASM;638000000
Antigua and Barbuda;ATG;1661962963
Australia;AUS;1.39657E+12
Austria;AUT;4.45075E+11
Azerbaijan;AZE;48174235294
Burundi;BDI;3012308946
Belgium;BEL;5.33255E+11
Benin;BEN;14391686309
Burkina Faso;BFA;15990803570
Bangladesh;BGD;3.02563E+11
Bulgaria;BGR;68558815112
Bahrain;BHR;38474521277
Bahamas;BHS;13578800000
Bosnia and Herzegovina;BIH;20202479538
Belarus;BLR;64409647194
Belize;BLZ;1982518541
Bermuda;BMU;7484113000
Bolivia;BOL;40895322851
Brazil;BRA;1.87781E+12
Barbados;BRB;5209000000
Brunei Darussalam;BRN;13469422941
Bhutan;BTN;2530547158
Botswana;BWA;18362348888
Central African Republic;CAF;2220307319
Canada;CAN;1.74158E+12
Central Europe and the Baltics;CEB;1.66852E+12
Switzerland;CHE;7.31474E+11
Channel Islands;CHI;
Chile;CHL;2.79385E+11
China;CHN;1.42799E+13
Cote d'Ivoire;CIV;58539424930
Cameroon;CMR;39007354359
Democratic Republic of the Congo;COD;50400746171
Republic of the Congo;COG;12693562948
Colombia;COL;3.2343E+11
Comoros;COM;1165839900
Cabo Verde;CPV;1981845741
Costa Rica;CRI;63951114302
Caribbean small states;CSS;76644400521
Cuba;CUB;1.03131E+11
Curacao;CUW;3101787709
Cayman Islands;CYM;5935769351
Cyprus;CYP;24949065264
Czech Republic;CZE;2.50686E+11
Germany;DEU;3.86112E+12
Djibouti;DJI;3324634256
Dominica;DMA;574607407.4
Denmark;DNK;3.50104E+11
Dominican Republic;DOM;88941299734
Algeria;DZA;1.71158E+11
Ecuador;ECU;1.08108E+11
Egypt;EGY;3.03081E+11
Eritrea;ERI;
Spain;ESP;1.39349E+12
Estonia;EST;31471100656
Ethiopia;ETH;95912590628
European Union;EUU;1.5634E+13
Fragile and conflict affected situations;FCS;1.9151E+12
Finland;FIN;2.68966E+11
Fiji;FJI;5496250694
France;FRA;2.71552E+12
Faroe Islands;FRO;3126293220
Gabon;GAB;16874450215
United Kingdom;GBR;2.83081E+12
Georgia;GEO;17477255562
Ghana;GHA;67234292583
Gibraltar;GIB;
Guinea;GIN;13513809258
"Gambia, The";GMB;1826073740
Guinea-Bissau;GNB;1439638443
Equatorial Guinea;GNQ;11417278045
Greece;GRC;2.05327E+11
Grenada;GRD;1211403704
Greenland;GRL;
Guatemala;GTM;77020015201
Guam;GUM;6311000000
Guyana;GUY;5173759528
"Hong Kong SAR, China";HKG;3.63016E+11
Honduras;HND;25089976947
Croatia;HRV;60752588976
Haiti;HTI;14332163266
Hungary;HUN;1.63504E+11
Indonesia;IDN;1.11909E+12
Isle of Man;IMN;
India;IND;2.8705E+12
Ireland;IRL;3.9859E+11
Iran;IRN;2.58245E+11
Iraq;IRQ;2.22434E+11
Iceland;ISL;24836714771
Israel;ISR;3.94652E+11
Italy;ITA;2.00491E+12
Jamaica;JAM;15830768550
Jordan;JOR;44502895915
Japan;JPN;5.06487E+12
Kazakhstan;KAZ;1.81667E+11
Kenya;KEN;95503088538
Kyrgyz Republic;KGZ;8871019823
Cambodia;KHM;27089389787
Kiribati;KIR;194647201.9
St. Kitts and Nevis;KNA;1044711111
"Korea, Rep.";KOR;1.64674E+12
Kuwait;KWT;1.36197E+11
Lao;LAO;18245925331
Lebanon;LBN;51991634492
Liberia;LBR;3070518100
Libya;LBY;52091152228
St. Lucia;LCA;2122450630
Liechtenstein;LIE;
Sri Lanka;LKA;83975584254
Lesotho;LSO;2366213069
Lithuania;LTU;54639938780
Luxembourg;LUX;71104919108
Latvia;LVA;34055464655
"Macao SAR, China";MAC;55153707949
St. Martin (French part);MAF;
Morocco;MAR;1.197E+11
Monaco;MCO;7423709840
Moldova;MDA;11968699006
Madagascar;MDG;14191911512
Maldives;MDV;5642179170
Middle East & North Africa;MEA;3.43072E+12
Mexico;MEX;1.26887E+12
Marshall Islands;MHL;239462200
North Macedonia;MKD;12547086168
Mali;MLI;17281815734
Malta;MLT;15215714309
Myanmar;MMR;79844294296
Montenegro;MNE;5542674765
Mongolia;MNG;13996719329
Northern Mariana Islands;MNP;1182000000
Mozambique;MOZ;15291448212
Mauritania;MRT;7600650038
Mauritius;MUS;14046337855
Malawi;MWI;10862613622
Malaysia;MYS;3.64681E+11
Namibia;NAM;12565772085
Niger;NER;12911689659
Nigeria;NGA;4.4812E+11
Nicaragua;NIC;12611218627
Netherlands;NLD;9.07051E+11
Norway;NOR;4.0551E+11
Nepal;NPL;34186180695
Nauru;NRU;118223430.1
New Zealand;NZL;2.09127E+11
Oman;OMN;76331518669
Pakistan;PAK;2.78222E+11
Panama;PAN;66787900000
Peru;PER;2.28471E+11
Philippines;PHL;3.76823E+11
Palau;PLW;268354900
Papua New Guinea;PNG;24829107011
Poland;POL;5.95862E+11
Puerto Rico;PRI;1.04915E+11
"Korea, Dem. People's Rep.";PRK;
Portugal;PRT;2.39511E+11
Paraguay;PRY;37906944075
Qatar;QAT;1.75838E+11
Romania;ROU;2.49697E+11
Russia;RUS;1.68745E+12
Rwanda;RWA;10355974217
South Asia;SAS;3.59691E+12
Saudi Arabia;SAU;7.92967E+11
Sudan;SDN;32250448249
Senegal;SEN;23306213742
Singapore;SGP;3.74386E+11
Solomon Islands;SLB;1570215577
Sierra Leone;SLE;4121733705
El Salvador;SLV;26896660000
San Marino;SMR;1616369646
Somalia;SOM;4942319041
Serbia;SRB;51475016532
South Sudan;SSD;
Sao Tome and Principe;STP;427425039.7
Suriname;SUR;4221373022
Slovak Republic;SVK;1.05119E+11
Slovenia;SVN;54174227309
Sweden;SWE;5.31283E+11
Seychelles;SYC;1581380269
Syrian Arab Republic;SYR;
Turks and Caicos Islands;TCA;1197415000
Chad;TCD;11314951343
Togo;TGO;7220395248
Thailand;THA;5.44264E+11
Tajikistan;TJK;8300784857
Turkmenistan;TKM;45231428571
Timor-Leste;TLS;2017924900
Tonga;TON;512350059.4
Trinidad and Tobago;TTO;23208326548
Tunisia;TUN;39195716330
Turkey;TUR;7.61428E+11
Tuvalu;TUV;47271463.33
Tanzania;TZA;61136873747
Uganda;UGA;35170037381
Ukraine;UKR;1.5393E+11
Uruguay;URY;61231149881
United States;USA;2.14332E+13
Uzbekistan;UZB;57726542785
St. Vincent and the Grenadines;VCT;824718518.5
Venezuela;VEN;
British Virgin Islands;VGB;
Virgin Islands (U.S.);VIR;
Vietnam;VNM;2.61921E+11
Vanuatu;VUT;930337960
World;WLD;8.76078E+13
Samoa;WSM;852250191
Kosovo;XKX;7953156068
"Yemen, Rep.";YEM;
South Africa;ZAF;3.51432E+11
Zambia;ZMB;23308688906
Zimbabwe;ZWE;16932434839